order_ref,amount,order_date,note
REF_0001,10000.00,2018-12-12,Details
REF_0002,12500.00,2018-12-13,Another
REF_0003,100,2018-12-14,Somethings
REF_0004,6500.00,2018-12-15,Items
REF_0005,5420.00,2018-12-16,
REF_0006,253.25,2018-12-17,Orders
REF_0007,78520.50,2018-12-18,
REF_0008,1500.00,2018-12-19,
REF_0009,15200.00,2018-12-20,Customers
REF_0010,7820.00,2018-12-21,
REF_0011,6501.00,2018-12-22,
REF_0012,1485.00,2018-12-23,
REF_0013,8562.00,2018-12-24,Names
REF_0014,14785.00,2018-12-25,
REF_0015,165.25,2018-12-26,
REF_0016,15978.00,2018-12-27,
REF_0017,61547.00,2018-12-28,Toys
REF_0018,789456.00,2018-12-29,
REF_0019,18,471.00,2018-12-30,Meat
REF_0020,1978.00,2018-12-31,
REF_0021,36752.00,2019-01-01,
REF_0022,827,2019-01-02,Fruits
REF_0023,82727.00,2019-01-03,
REF_0024,2,2019-01-04,
REF_0025,827827.00,2019-01-05,Car
REF_0026,752,2019-01-06,
REF_0027,2572.00,2019-01-07,vegetables
REF_0028,578,2019-01-08,
REF_0029,875,2019-01-09,
REF_0030,5733.00,2019-01-10,
